Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
24/02/76;0.538
25/02/76;0.5
26/02/76;0.437
27/02/76;0.395
28/02/76;0.374
29/02/76;0.332
01/03/76;0.311
02/03/76;0.311
03/03/76;0.311
04/03/76;0.311
05/03/76;0.311
06/03/76;0.311
07/03/76;0.311
08/03/76;0.311
09/03/76;0.311
10/03/76;0.311
11/03/76;0.274
12/03/76;0.274
13/03/76;0.257
14/03/76;0.257
15/03/76;0.257
16/03/76;0.257
17/03/76;0.257
18/03/76;0.241
19/03/76;0.241
20/03/76;0.241
21/03/76;0.241
22/03/76;0.241
23/03/76;0.257
24/03/76;0.257
25/03/76;0.257
26/03/76;0.241
27/03/76;0.241
28/03/76;0.241
29/03/76;0.241
30/03/76;0.241
31/03/76;0.241
01/04/76;0.241
02/04/76;0.241
03/04/76;0.241
04/04/76;0.241
05/04/76;0.241
06/04/76;0.241
07/04/76;0.241
08/04/76;0.224
09/04/76;0.224
10/04/76;0.224
11/04/76;0.241
12/04/76;0.208
13/04/76;0.208
14/04/76;0.208
15/04/76;0.208
16/04/76;0.224
17/04/76;0.208
18/04/76;0.175
19/04/76;0.191
20/04/76;0.175
21/04/76;0.191
22/04/76;0.191
23/04/76;0.191
24/04/76;0.191
25/04/76;0.191
26/04/76;0.175
27/04/76;0.191
28/04/76;0.191
29/04/76;0.191
30/04/76;0.191
01/05/76;0.175
02/05/76;0.191
03/05/76;0.191
04/05/76;0.191
