Sekkak-Learn;
Sekkak-Learn;
N;Q
1797;0.8214285714
1798;0.75
1799;0.75
1800;0.75
1801;0.75
1802;0.75
1803;0.68
1804;0.6083333333
1805;0.68
1806;0.6777777778
1807;0.8214285714
1808;0.8891304348
1809;0.9588235294
1810;1.2142857143
1811;1.9833333333
1812;2.55
1813;2.6357142857
1814;2.08
1815;1.6285714286
1816;1.4625
1817;1.38125
1818;1.2
1819;1.21
1820;1.2166666667
1821;1.05
1822;1.0444444444
1823;1.04375
1824;1.05
1825;1.0416666667
1826;0.9583333333
1827;0.95
1828;0.99
1829;0.8
1830;0.75
1831;0.75
1832;0.75
1833;1.07
1834;1.07
1835;0.7333333333
1836;0.6166666667
1837;0.675
1838;0.675
1839;2.45
1840;1.9857142857
1841;2.73
1842;3.5858974359
1843;3.8
1844;3.1590909091
1845;4.7276315789
1846;5.0903225806
1847;4.959375
1848;4.6119047619
1849;2.175
1850;1.6333333333
1851;1.99
1852;1.8
1853;1.55
1854;3.3066666667
1855;8.32
1856;18.4
1857;28.1600378788
1858;39.139953271
1859;34.4
1860;37.009922179
1861;45.3
1862;48.9099056604
1863;52.5900414938
1864;51.3299418605
1865;64.2799065421
1866;43.2
1867;58.9
1868;81.1198630137
1869;66.0399061033
1870;52.2599206349
1871;33.7
1872;34.8197183099
1873;23.3603448276
1874;20.8
1875;19.5206896552
1876;19.5202702703
1877;16.6403846154
1878;15.2
1879;14.56
1880;14.0791666667
1881;12.64
1882;12
1883;11.3607142857
1884;10.8818181818
1885;10.5586206897
1886;9.7611111111
1887;8.96
1888;8.48
1889;7.6799850635
1890;6.56
1891;6.5600775194
1892;4.8102040816
1893;3.8764705882
1894;3.4479166667
1895;3.1621621622
1896;3.1625
1897;2.7322580645
1898;2.5901408451
1899;2.4708333333
1900;2.1140625
1901;2.1136363636
1902;1.81
1903;1.06
1904;1.24
1905;1.24
1906;1.15
1907;1.15
1908;1.07
1909;1.1520833333
1910;1.32
1911;1.2346153846
1912;1.23
1913;1.2375
1914;1.07
1915;0.9833333333
1916;1.07
1917;0.86
1918;1.07
1919;1.1555555556
1920;1.2357142857
1921;1.2333333333
1922;1.15
1923;1.07
1924;1.0714285714
1925;0.9875
1926;0.99
1927;0.9870967742
1928;0.9071428571
1929;0.9055555556
1930;0.9055555556
1931;1.15
1932;0.9863636364
1933;0.9035714286
1934;0.825
1935;0.7333333333
1936;0.75
1937;0.75
1938;0.7333333333
1939;0.75
1940;0.75
1941;0.75
1942;0.75
1943;0.65
1944;0.75
1945;0.45
1946;0.45
1947;0.6
1948;0.4
1949;0.4
1950;0.575
1951;0.35
1952;0.6
1953;0.575
1954;0.575
1955;0.525
1956;0.52
1957;0.5
1958;0.5125
1959;0.5142857143
1960;0.525
1961;0.4571428571
1962;0.4583333333
1963;0.45
1964;0.45
1965;0.45
